_;id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
11088;16583319;Familienfreundliches Zimmer mit Katzen;55368306;Andrea;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52.48897794504133;13.39781395199878;Private room;75;2;0;;;2;0
11089;16583885;Beautiful Villa in Westend Berlin;31070180;Carolina;Charlottenburg-Wilm.;Westend;52.511727141836005;13.260687751874766;Entire home/apt;320;2;12;14/10/2018;0.57;1;319
11090;16585886;BIG City Central Apt. Mitte, Heart of Berlin;109353960;Angelina;Mitte;Brunnenstr. Süd;52.53007137212227;13.396784987749069;Entire home/apt;249;1;76;04/11/2018;3.48;9;122
11096;16598356;Dachgeschosswohnung am Treptower Park;3213777;Kristin;Treptow - Köpenick;Plänterwald;52.48701725998115;13.464056801626558;Entire home/apt;90;5;0;;;1;98
11102;16608497;Huge Loft Berlin-Mitte with private bathroom + A/C;41119131;Robert;Mitte;Moabit Ost;52.52335160738401;13.352070999856378;Private room;70;1;136;02/11/2018;6.99;3;302
11106;16610187;Apt.2 im Herzen Kreuzbergs;718939;Martina & Charlotte (MaCha);Friedrichshain-Kreuzberg;nördliche Luisenstadt;52.50253187149914;13.417621240425706;Entire home/apt;98;2;57;24/10/2018;3.15;12;332
11107;16611044;Berlin City Ponderosa;109626558;Anna;Pankow;Helmholtzplatz;52.54567000375147;13.420669349106518;Private room;80;2;5;16/09/2018;0.26;1;88
11108;16611133;Fabric Loft in Prenzlauer Berg;78039347;Leo;Pankow;Prenzlauer Berg Süd;52.5350720969572;13.422315176058236;Entire home/apt;70;3;51;14/10/2018;2.32;1;57
11113;16617481;Room in Big Cosy Apartment Kreuzberg;45087543;Madli;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52.48715862919474;13.396798893521296;Shared room;100;2;12;03/10/2018;0.68;1;49
11121;16627622;LUXX - in the heart of Mitte;109813917;Antonio;Mitte;Alexanderplatz;52.523009882106194;13.408551049155282;Entire home/apt;185;3;1;27/07/2018;0.29;1;168
11123;16630402;Super Cosy 3 rooms Flat in Best Spot in Kreuzberg;2681945;Tine;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52.489964080231445;13.402282303680508;Entire home/apt;80;6;2;30/06/2017;0.12;1;0
11124;16630942;17th Floor city and the park just in front of you;46284369;Peter;Friedrichshain-Kreuzberg;Karl-Marx-Allee-Nord;52.524112939781006;13.430647810530273;Entire home/apt;74;3;2;31/01/2017;0.09;1;0
11130;16639512;Bright and Cosy Modern Apartment - Friedrichshain;3416357;Billy;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.50885013684048;13.47326112086354;Entire home/apt;70;2;10;06/05/2018;0.46;1;4
11133;16640020;Beautiful 90 sqm flat in the cool part of city;38422482;Jussi;Pankow;Prenzlauer Berg Südwest;52.53936429718679;13.41071357525716;Entire home/apt;100;4;0;;;1;0
11134;16640146;Spacious & sunny Kreuzberg apartment;5982514;Lisa;Friedrichshain-Kreuzberg;nördliche Luisenstadt;52.50364344602942;13.41532562795853;Entire home/apt;90;2;6;09/09/2018;0.84;1;52
11137;16640603;Awesome Flat In The Heart Of Friedrichshain;108025548;Baharbin;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.51330497175081;13.46072547764492;Entire home/apt;120;1;137;02/11/2018;6.16;6;47
11144;16649864;Self-contained new flat (2 rooms+private bathroom);110051582;Bruno;Pankow;Schönholz/Wilhelmsruh/Rosenthal;52.58310749894456;13.380790727815915;Entire home/apt;80;2;45;04/11/2018;2.3;1;363
11148;16655645;Small 2Rooms flat/center/5 min from metro/Wil-dorf;79430806;Katya;Charlottenburg-Wilm.;Volkspark Wilmersdorf;52.486643366264985;13.326103335969792;Entire home/apt;90;3;25;17/10/2018;1.24;19;333
11149;16655959;Modern luxury apartment in Berlin Mitte;3400768;Graciela;Mitte;Alexanderplatz;52.50558972810928;13.420745795344386;Entire home/apt;90;3;5;21/05/2018;0.23;1;0
11159;16674064;Charming Apartment with Balcony at Alexanderplatz;8953004;Nadine;Mitte;Alexanderplatz;52.528787061832965;13.403619685092483;Entire home/apt;70;3;11;25/06/2018;0.51;1;305
11162;16679665;Old West Berlin at its best.;30518151;Joachim P;Charlottenburg-Wilm.;Neue Kantstraße;52.504881146991146;13.297416447212038;Private room;170;1;15;24/10/2018;0.71;7;32
11164;16681373;Apartment with a view near Mitte & Prenzlauer Berg;5218816;Timo;Mitte;Brunnenstr. Nord;52.54622673895754;13.390454369104155;Entire home/apt;80;3;2;28/05/2017;0.1;2;0
11168;16684398;Wunderschönes Loft in Kreuzberg;110441141;Bettina;Tempelhof - Schöneberg;Schöneberg-Süd;52.48768578449109;13.372932554863054;Private room;90;5;1;19/07/2017;0.06;1;29
11172;16688037;Luxury Family Apt 130m² with river and Old Town;5949335;Nadja;Treptow - Köpenick;Dammvorstadt;52.45077426641703;13.570681139953786;Entire home/apt;98;3;34;21/10/2018;1.76;1;28
11174;16695157;Wunderschöne Altbauwohnung im Herzen Berlins;110572838;Monique&Chris;Friedrichshain-Kreuzberg;Karl-Marx-Allee-Süd;52.51778623740621;13.433439388799217;Entire home/apt;95;4;67;26/10/2018;3.07;1;335
11184;16704289;cozy but lively cove in neukölln;19053894;Jonas;Neukölln;Reuterstraße;52.48309641131897;13.438413565074066;Entire home/apt;80;2;19;28/10/2018;0.89;1;0
11187;16714366;Kreuzberg- in the heart of Berlin4;718939;Martina & Charlotte (MaCha);Friedrichshain-Kreuzberg;nördliche Luisenstadt;52.50096387131999;13.417363020638495;Entire home/apt;94;2;42;30/09/2018;2.28;12;338
11196;16723150;In Mitte, the best address in Berlin!;381006;Svetlana;Mitte;Alexanderplatz;52.52629692951446;13.400487895328205;Entire home/apt;150;5;22;09/10/2018;1.02;1;73
11198;16729649;Luxurious Loftstyle Apartment - Parkside;1202217;Ben & Martha;Friedrichshain-Kreuzberg;südliche Luisenstadt;52.49819234665528;13.432725627674383;Entire home/apt;140;5;1;28/05/2018;0.18;1;25
11199;16730380;Pulsing loft in Kreuzberg;718939;Martina & Charlotte (MaCha);Friedrichshain-Kreuzberg;nördliche Luisenstadt;52.50249898524879;13.418163801947207;Entire home/apt;140;2;110;24/10/2018;4.98;12;280
11204;16736305;Gemütliche Wohnung mit Terasse u Garten;110990139;Julia;Pankow;Prenzlauer Berg Ost;52.536463619372185;13.433636839284992;Entire home/apt;75;1;16;27/10/2018;0.84;1;0
11207;16739330;Berlin Central Kiez, old building, balcony;40132891;Patrick;Pankow;Prenzlauer Berg Südwest;52.532434314637584;13.40735312020929;Entire home/apt;75;7;4;07/05/2018;0.28;1;0
11214;16752912;Gemütliche CITY-DG-WOHNUNG im Grünen - *MESSE-NAH*;22490888;Julian;Charlottenburg-Wilm.;Heerstrasse;52.49486617339882;13.265465776018814;Entire home/apt;69;1;47;21/09/2018;2.27;1;145
11216;16761491;Amazing flat in Friedrichshain/Kreuzberg;3205578;Charlotte;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.50351840482026;13.45100632899124;Entire home/apt;80;5;5;06/09/2017;0.24;1;0
11226;16777646;Very central and very quiet;23042311;Maria;Mitte;Alexanderplatz;52.523966026450445;13.386045239147228;Entire home/apt;80;4;55;16/10/2018;2.52;5;223
